line_name,line_value
tsw803273_sw,1.06406E-10
wf856_48332_sw,9.62913E-29
ln0955074_sw,9.62913E-29
x8223_48332_sw,19.05582232
hvmv69s1b3_sw,3.051080675
v9109_48332_sw,9.62913E-29
ln0742811_sw,3.955448112
ln2001mt2_sw,1.127E-08
v9287_48332_sw,9.62913E-29
l5523_48332_sw,10.43507044
l5397_48332_sw,9.62913E-29
ln2000001_sw,1.833633921
ln0623395_sw,9.62913E-29
ln4651075_sw,11.51969547
v7995_48332_sw,1.486506105
ln4641075_sw,10.47243431
hvmv69s3b1_sw,3.877885302
ln0621886_sw,8.177574883
a8869_48332_sw,4.414802483
ln5587300-1,3.810787094
ln0017316_sw,9.62913E-29
l9407_48332_sw,0.804756679
l5565_48332_sw,9.62913E-29
ln5001chp_sw,0.381883385
dg1069mt1_sw,1.336E-05
ln4586093_sw,7.701827626
ln0653457_sw,1.44994E-10
v7173_48332_sw,2.86208E-12
dg1209dies_sw,1.28622E-11
hvmv69s2b3_sw,3.875962939
2002200004991174_sw,10.77473444
dg1089dies_sw,1.7915E-11
ln0504876_sw,1.334309278
ln0247162_sw,9.62913E-29
ln0863704_sw,9.470224392
ln0712477_sw,9.62913E-29
ln2001201_sw,9.62913E-29
ln2001ess2_sw,8.02523E-10
v9111_48332_sw,16.55001117
ln4625696_sw,13.1642226
dg1142lng_sw,3.29433E-11
ln0774470_sw,9.62913E-29
a8611_48332_sw,1.321311725
ln0108145_sw,20.10979645
ln0956471_sw,12.30535995
ln0774458_sw,1.49445476
ln0653469_sw,9.62913E-29
wd701_48332_sw,9.62913E-29
v7041_48332_sw,7.876511018
hvmv69s1b2_sw,6.946289745
ln05534967_sw,0.459839317
ln0504019_sw,2.182791806
x8271_48332_sw,9.62913E-29
v7313_48332_sw,9.62913E-29
ln0440002_sw,9.62913E-29
tsw10691069_sw,7.890891668
hvmv69s2b1_sw,1.64978212
hvmv69s3b2_sw,21.45594302
2002200004868472_sw,0.868689856
ln4625713_sw,2.183523082
2002200004641085_sw,3.69530178
xj171_48332_sw,6.821536064
l5437_48332_sw,5.115324627
ln0409774-4_int,9.62913E-29
ln0895780_sw,16.3311076
ln4625680_sw,3.169934352
ln2000701_sw,9.62913E-29
wf586_48332_sw,9.62913E-29
ln0712587_sw,9.62913E-29
g9343_48332_sw,11.3743791
l9191_48332_sw,15.63182512
tsw568613_sw,9.62913E-29
wg127_48332_sw,9.62913E-29
hvmv69s2b2_sw,9.244263918
x8225_48332_sw,9.62913E-29
tsw30473047_sw,6.147603134
ln1047pvfrm_sw,0.116570678
ln3693186_sw,0.580643794
hvmv115b1_sw,5.3312E-07
hvmv69s1b4_sw,1.822088303
tsw10891089_sw,2.680203376
ln2001ess1_sw,8.02523E-10
ln2001mt3_sw,1.127E-08
ln0804798_sw,9.62913E-29
a8645_48332_sw,1.14778E-12
ln0141147_sw,9.62913E-29
dg1089lng_sw,9.27506E-12
ln0138609_sw,10.13163894
ln0746703_sw,9.62913E-29
l5659_48332_sw,9.62913E-29
tsw320328_sw,9.62913E-29
hvmv69s1b1_sw,1.23182834
ln2000901_sw,9.62913E-29
ln2000401_sw,9.62913E-29
ln0077781_sw,9.42605104
ln247171_sw,9.62913E-29
ln5472335-1,7.001657339
ln2001301_sw,9.62913E-29
ln2001001_sw,9.62913E-29
ln247160_sw,9.62913E-29
a333_48332_sw,8.16913E-11
hvmv69s1s2-10,3.044420091
ln0048634_sw,1.324898107
ln0017295_sw,10.99083459
ln0170302_sw,9.605437594
ln4625876_sw,23.25523549
ln293471_sw,0.043375239
ln2001mt1_sw,2.4911E-05
l5491_48332_sw,9.62913E-29
tpx355777b0,27.05009584
tpx328365b0,40.5155049
tpx337713c0,16.70633857
tpx339008b0,15.76231467
tpx138573a0,24.1734942
tpx302412a0,36.52796146
tpx391738b0,10.75710568
tpx225533703c0,28.33868523
tpx2224500658a0,10.1671973
tpx21400215b0,54.28977343
tpx274999c0,27.35268095
tpx338984a0,23.68351139
tpx226308727b0,54.34295236
tpx338962c0,27.96125359
tpx339019a0,14.23369254
tpx2223878647b0,16.89796346
tpx2212168874c0,56.08628595
tpx260577c0,42.28936239
tpx293673a0,24.72463361
tpx21398815a0,24.55402327
tpx138586c0,16.8273562
tpx228446184a0,25.34273996
tpx223661c0,16.78178906
tpx338897a0,15.26937707
tpx138562a0,24.20821532
tpx2000711b0,10.53593471
tpx302676a0,9.667876164
tpx294812a0,15.3199654
tpx21399112c0,27.84364499
tpx323400b0,16.89842538
tpx21386771b0,16.37155115
tpx356008a0,15.29387667
tpx260640c0,16.76196383
tpx226308716b0,81.89248346
tpx2000406a0,18.85429023
tpx21249647b0,26.82775246
tpx2001208c0,17.83466011
tpx337700b0,27.5760147
tpx226192994a0,10.0284748
tpx28121368a0,6.578268442
tpx251862c0,17.03487314
tpx138718c0,6.716724639
tpx225901711a0,15.18243815
tpx28129466c0,13.4603826
tpx356795c0,27.3267405
tpx355600b0,27.11561277
tpx207287b0,26.54043708
tpx138466c0,28.1902942
tpx260479a0,36.65288375
tpx338997b0,52.28461927
tpx2001315a0,29.91192307
tpx337628c0,27.29060701
tpx2224387113a0,37.7402055
tpx28127319b0,27.19799578
tpx21243817a0,14.59231955
tpx21386442c0,42.84827349
tpx302510c0,16.65455869
tpx28129923c0,16.73198984
tpx337692b0,10.91553084
tpx260520b0,5.349808586
tpx351020c0,7.378040793
tpx226194419c0,28.09028132
tpx310569a0,24.79805834
tpx355779c0,16.63684933
tpx337722a0,24.86889533
tpx323237b0,16.88907216
tpx28127372a0,24.27018511
tpx338899c0,16.64224397
tpx226193345a0,15.25532876
tpx391749b0,26.93861986
tpx28129466b0,53.6784307
tpx302469a0,3.513560153
tpx138379c0,6.773054277
tpx2221108404c0,89.7674367
tpx274988c0,16.5121741
tpx338973a0,35.44611767
tpx2001304a0,14.39742848
tpx138684a0,24.17704523
tpx293609c0,28.17532544
tpx356805a0,14.73130679
tpx226197070a0,24.5509014
tpx260542a0,24.37383117
tpx138342c0,28.18962383
tpx328363b0,39.26124202
tpx228580047b0,16.56958895
tpx293660b0,26.72243297
tpx138571a0,14.47183661
tpx321855b0,16.28823818
tpx28099529c0,28.42552973
tpx228445756c0,16.85525975
tpx28129466a0,48.832724
tpx302410a0,24.29980659
tpx2000702b0,15.75994455
tpx274997c0,27.37192751
tpx28118822a0,14.54096379
tpx355842a0,25.53001624
tpx226308725b0,81.9478452
tpx338960c0,6.728786769
tpx260586b0,40.48227014
tpx138560a0,24.20928083
tpx2000408a0,18.61457111
tpx21381118b0,15.82772707
tpx223663c0,11.20375137
tpx302674a0,24.22229675
tpx218475a0,9.681077777
tpx2000713b0,19.17272405
tpx355590b0,16.19829431
tpx260464a0,36.58086168
tpx337648b0,26.92570967
tpx338982b0,26.43953474
tpx2001206c0,15.7972611
tpx260562a0,36.74114373
tpx355768b0,27.06151826
tpx21399361b0,26.64649966
tpx337702b0,27.59473731
tpx228622562a0,14.71072198
tpx356797c0,27.32097509
tpx302808c0,11.26676941
tpx2000911c0,16.85297549
tpx355602b0,16.23504021
tpx138716c0,27.90085244
tpx21380616a0,25.5210524
tpx227734175b0,26.16774835
tpx138464c0,11.24227543
tpx2001313a0,33.67893034
tpx337626c0,27.29759838
tpx302861c0,16.92431653
tpx338995b0,10.5711761
tpx21389761b0,26.79864736
tpx228219458b0,28.08899512
tpx260553c0,16.78300837
tpx337690b0,27.35583133
tpx227447984c0,86.05416416
tpx337724a0,14.86661774
tpx21398563a0,24.89229685
tpx338918a0,10.12025967
tpx274986c0,11.03078059
tpx260488a0,36.65954441
tpx2001302a0,13.17850022
tpx21397645a0,24.58946083
tpx2001008b0,19.06989136
tpx356807a0,24.61446964
tpx302369b0,26.70600339
tpx260575b0,16.12391273
tpx293522a0,14.48917614
tpx338927a0,25.2445068
tpx226194826a0,24.55011742
tpx356015a0,25.52678051
tpx392037b0,27.66921921
tpx2001215c0,32.15570725
tpx260500b0,10.68934145
tpx2212168870c0,56.09971604
tpx260535c0,42.16249845
tpx226193737c0,16.41411269
tpx226308723b0,9.762358024
tpx355359b0,16.07309958
tpx293655c0,27.83768021
tpx356814c0,28.14554898
tpx302514a0,9.702645123
tpx226191850a0,25.55219175
tpx275248b0,2.602286887
tpx275008c0,6.812118417
tpx302732a0,14.48539061
tpx28148580b0,27.3544713
tpx355773a0,25.58797662
tpx225918936c0,16.69014458
tpx218473a0,24.25305581
tpx338893a0,25.51300514
tpx302405a0,14.54387624
tpx21396331b0,6.452820134
tpx337635c0,11.24229045
tpx21149420a0,25.43897729
tpx337646b0,26.92796015
tpx2001204c0,19.42721207
tpx293655b0,26.75405135
tpx21397721a0,14.68704925
tpx2000402a0,16.81869217
tpx138649a0,24.16148392
tpx21400185a0,24.31980359
tpx226193702c0,16.93555316
tpx21399826a0,25.55136285
tpx321892c0,28.42329574
tpx356791c0,42.95925553
tpx391991a0,14.68398407
tpx226193338a0,15.26652964
tpx21382813a0,36.99561403
tpx226194093a0,14.24643626
tpx2001400c0,60.88574107
tpx21386157a0,24.55264315
tpx294843a0,24.53845066
tpx28126875b0,28.02813691
tpx28129399c0,27.84249016
tpx337624c0,10.97686643
tpx138264b0,26.59041249
tpx21482431a0,14.60483291
tpx227921427c0,56.61068116
tpx260513c0,16.59825678
tpx338993b0,4.255014161
tpx2001311a0,24.08032583
tpx247160b0,16.17528211
tpx2000413a0,15.89614154
tpx293424c0,10.04907151
tpx346639c0,4.073692138
tpx225668688a0,15.16720568
tpx225700953a0,14.59187685
tpx323233b0,16.88934832
tpx323279b0,16.87501538
tpx321839a0,25.54057677
tpx21469911a0,24.5584123
tpx2223661373a0,25.20357581
tpx2000909c0,16.85198027
tpx226192926a0,25.07259673
tpx260622c0,4.041779652
tpx339052c0,41.09153795
tpx227921427b0,54.33574351
tpx337659c0,28.33995672
tpx138680a0,5.827157357
tpx228314460c0,28.28891158
tpx227100753a0,24.66120891
tpx28120855a0,9.935945226
tpx2001006b0,14.62321193
tpx21470405a0,36.38140883
tpx247184c0,7.296625894
tpx293666c0,11.10191676
tpx356801a0,14.72448801
tpx2224237546a0,38.15222005
tpx321859b0,27.19559099
tpx391751b0,26.92973984
tpx226192890c0,42.07455417
tpx323248b0,16.81347402
tpx21248901b0,26.94505075
tpx225533531a0,24.55089067
tpx247084b0,26.92357385
tpx21357515a0,25.31672032
tpx356013a0,25.53954195
tpx21399508a0,14.53101873
tpx338925a0,15.14321526
tpx2001213c0,27.20445754
tpx21400108b0,16.23588175
tpx260555a0,36.67345662
tpx293664b0,81.001343
tpx391740b0,10.75781463
tpx321848b0,16.85506333
tpx391980a0,14.63588218
tpx294810a0,38.47506688
tpx2224237653a0,38.15748261
tpx302678a0,9.668200916
tpx321890c0,42.76076953
tpx226191778c0,28.06021237
tpx337633c0,16.86891162
tpx260457b0,10.6479347
tpx21459629c0,85.99718771
tpx28119958b0,16.85881853
tpx2001202c0,18.64091417
tpx2000404a0,14.52248405
tpx226308721a0,11.8517485
tpx227917122a0,36.32816312
tpx21399619c0,6.701703816
tpx247171b0,16.18094414
tpx225533675b0,40.58540574
tpx226308710b0,81.87118747
tpx293664a0,49.55430909
tpx356793c0,41.11673126
tpx391993a0,9.792026558
tpx2224238167a0,38.14937189
tpx260631a0,14.57070522
tpx225533237b0,10.72887717
tpx294845a0,14.68901687
tpx355437c0,27.80714055
tpx339043c0,27.30795186
tpx21398676a0,14.7005945
tpx21396015a0,24.19598681
tpx226196642a0,5.084809368
tpx247105b0,16.15026086
tpx21482279a0,3.593961537
tpx28127681b0,27.19973556
tpx225806974a0,9.797957805
tpx226194421c0,28.09367191
tpx2000415a0,16.12207326
tpx227917133c0,28.32102738
tpx260511c0,16.59914194
tpx293422c0,4.017053288
tpx337720a0,14.89346143
tpx321837a0,25.53689979
tpx323235b0,5.626504229
tpx328367c0,11.23102981
tpx138373c0,16.86427052
tpx225533215c0,10.89528786
tpx226881700a0,23.67695516
tpx260620c0,11.16573248
tpx338949b0,16.10787392
tpx247060a0,9.933381638
tpx21396796b0,28.06966755
tpx355840b0,27.0106947
tpx337679a0,14.49638827
tpx138769a0,9.656462792
tpx138262a0,49.18928264
tpx2001004b0,14.54669384
tpx337668b0,41.09140246
tpx21459660c0,20.47952206
tpx260568c0,16.81503493
tpx262075c0,28.29224464
tpx293664c0,55.97351428
tpx356803a0,24.60390725
tpx2224230651c0,84.77351087
tpx356810c0,11.22899387
tpx21400253b0,28.96502796
tpx28150189a0,24.264835
tpx391753b0,10.70007677
tpx2224179616c0,16.85477646
tpx260637c0,11.16956005
tpx323242b0,28.18016205
tpx225571871b0,16.24664344
tpx260602b0,16.16011769
tpx2224192013a0,15.35489403
tpx226109079a0,37.88460446
tpx2000708b0,18.3243256
tpx2001015b0,36.41952203
